[2025-08-09 12:02:32] [INFO    ] discord.client: logging in using static token
[2025-08-09 12:02:32] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2025-08-09 12:02:32] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2025-08-09 12:02:32] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1403539151218933901', 'username': 'GAG Bot', 'avatar': None, 'discriminator': '1885', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': False, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2025-08-09 12:02:32] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2025-08-09 12:02:32] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2025-08-09 12:02:32] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1403539151218933901', 'name': 'GAG Bot', 'icon': None, 'description': '', 'type': None, 'bot': {'id': '1403539151218933901', 'username': 'GAG Bot', 'avatar': None, 'discriminator': '1885', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': '5f33f176e4a8c68b837bac053486d3bb8a827dd9ebdf879faf2b291e73ef884c', 'flags': 557056, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '1311884526590496770', 'username': 'doonaaa__', 'avatar': '5a9795cfd2face67dae99bea7130174f', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': None, 'global_name': 'Sanjay', 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'approximate_guild_count': 0, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 224, 'monetization_state': 1, 'verification_eligibility_flags': 91036, 'monetization_eligibility_flags': 181988, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': []}
[2025-08-09 12:02:33] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2025-08-09 12:02:33] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-arm-us-east1-d-mc1h",{"micros":0.0}]']}}
[2025-08-09 12:02:33] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2025-08-09 12:02:33] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-08-09 12:02:33] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'GAG Bot', 'primary_guild': None, 'mfa_enabled': False, 'id': '1403539151218933901', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '1885', 'clan': None, 'bot': True, 'avatar': None}, 'session_type': 'normal', 'session_id': '95bbc4b68df8ad5e03cf2de9594464de', 'resume_gateway_url': 'wss://gateway-us-east1-d.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1403540647343947887'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['singapore', 'hongkong', 'india', 'sydney', 'japan'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1403539151218933901', 'flags': 557056}, '_trace': ['["gateway-prd-arm-us-east1-d-mc1h",{"micros":137808,"calls":["id_created",{"micros":561,"calls":[]},"session_lookup_time",{"micros":293,"calls":[]},"session_lookup_finished",{"micros":18,"calls":[]},"discord-sessions-prd-2-96",{"micros":136512,"calls":["start_session",{"micros":93423,"calls":["discord-api-rpc-64c97ccbd7-pgqpx",{"micros":78566,"calls":["get_user",{"micros":27645},"get_guilds",{"micros":3503},"send_scheduled_deletion_message",{"micros":10},"guild_join_requests",{"micros":108},"authorized_ip_coro",{"micros":10},"pending_payments",{"micros":5687},"apex_experiments",{"micros":2842},"user_activities",{"micros":4},"played_application_ids",{"micros":6}]}]},"starting_guild_connect",{"micros":29,"calls":[]},"presence_started",{"micros":8205,"calls":[]},"guilds_started",{"micros":66,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":34768,"calls":[]},"connect_finished",{"micros":34772,"calls":[]},"build_ready",{"micros":13,"calls":[]},"clean_ready",{"micros":1,"calls":[]},"optimize_ready",{"micros":0,"calls":[]},"split_ready",{"micros":1,"calls":[]}]}]}]']}}
[2025-08-09 12:02:33] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-08-09 12:02:33] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: 95bbc4b68df8ad5e03cf2de9594464de).
[2025-08-09 12:02:33] [DEBUG   ] discord.client: Dispatching event connect
